week,date,ask,bid
Week 1,01Sep2000,14119.71429,14123.71429
Week 2,08Sep2000,14134.85714,14137.14286
Week 3,15Sep2000,14153.14286,14156.28571
Week 4,22Sep2000,14186.14286,14189.85714
Week 1,29Sep2000,14217.85714,14221.85714
Week 2,06Oct2000,14258.71429,14262.71429
Week 3,13Oct2000,14301.00000,14312.14286
Week 4,20Oct2000,14335.00000,14388.57143
Week 1,27Oct2000,14364.28571,14418.28571
Week 2,03Nov2000,14404.14286,14458.14286
Week 3,10Nov2000,14437.71429,14491.71429
Week 4,17Nov2000,14463.42857,14517.42857
Week 1,24Nov2000,14481.14286,14528.00000
Week 2,01Dec2000,14499.71429,14553.71429
Week 3,08Dec2000,14508.85714,14562.85714
Week 4,15Dec2000,14508.42857,14562.42857
Week 1,22Dec2000,14508.85714,14555.42857
Week 2,29Dec2000,14513.42857,14567.42857
Week 3,05Jan2001,14521.00000,14575.00000
Week 4,12Jan2001,14525.71429,14579.71429
Week 1,19Jan2001,14540.71429,14594.71429
Week 2,26Jan2001,14542.28571,14596.28571
Week 3,02Feb2001,14543.57143,14597.57143
Week 4,09Feb2001,14550.57143,14604.57143
Week 1,16Feb2001,14557.28571,14603.57143
Week 2,23Feb2001,14564.00000,14618.00000
Week 3,02Mar2001,14557.14286,14611.14286
Week 4,09Mar2001,14552.42857,14606.42857
Week 1,16Mar2001,14546.71429,14600.71429
Week 2,23Mar2001,14544.00000,14598.00000
Week 3,30Mar2001,14541.85714,14595.85714
Week 4,06Apr2001,14547.71429,14601.71429
Week 1,13Apr2001,14555.28571,14580.71429
Week 2,20Apr2001,14559.57143,14613.57143
Week 3,27Apr2001,14564.00000,14618.00000
Week 4,04May2001,14570.00000,14624.00000
Week 1,11May2001,14588.28571,14642.28571
Week 2,18May2001,14607.28571,14661.28571
Week 3,25May2001,14630.28571,14677.28571
Week 4,01Jun2001,14676.42857,14730.42857
Week 1,08Jun2001,14725.57143,14779.28571
Week 2,15Jun2001,14779.42857,14833.14286
Week 3,22Jun2001,14821.71429,14875.71429
Week 4,29Jun2001,14847.14286,14893.57143
Week 1,06Jul2001,14866.00000,14920.00000
Week 2,13Jul2001,14892.14286,14946.14286
Week 3,20Jul2001,14911.28571,14965.28571
Week 4,27Jul2001,14935.28571,14989.28571
Week 1,03Aug2001,14955.85714,15009.85714
Week 2,10Aug2001,14975.28571,15029.28571
Week 3,17Aug2001,14985.71429,15039.85714
Week 4,24Aug2001,14984.42857,15038.42857
Week 1,31Aug2001,14992.00000,15046.00000
Week 2,07Sep2001,14999.85714,15052.71429
Week 3,14Sep2001,14902.28571,15103.71429
Week 4,21Sep2001,14309.42857,15677.14286
Week 1,28Sep2001,14315.42857,15690.71429
Week 2,05Oct2001,14334.71429,15708.28571
Week 3,12Oct2001,14330.85714,15722.71429
Week 4,19Oct2001,14332.00000,15736.00000
Week 1,26Oct2001,14341.85714,15746.71429
Week 2,02Nov2001,14341.85714,15735.14286
Week 3,09Nov2001,14383.14286,15800.14286
Week 4,16Nov2001,14440.14286,15662.85714
Week 1,23Nov2001,14341.14286,15773.28571
Week 2,30Nov2001,14363.57143,15778.57143
Week 3,07Dec2001,14369.28571,15784.57143
Week 4,14Dec2001,14380.00000,15778.14286
Week 1,21Dec2001,14361.71429,15770.14286
Week 2,28Dec2001,14351.71429,15773.28571
Week 3,04Jan2002,14380.14286,15788.14286
Week 4,11Jan2002,14388.85714,15803.42857
Week 1,18Jan2002,14391.42857,15819.00000
Week 2,25Jan2002,14387.71429,15843.71429
Week 3,01Feb2002,14385.85714,15844.00000
Week 4,08Feb2002,14404.14286,15852.00000
Week 1,15Feb2002,14395.14286,15841.71429
Week 2,22Feb2002,14407.57143,15855.71429
Week 3,01Mar2002,14412.57143,15865.14286
Week 4,08Mar2002,14432.14286,15869.71429
Week 1,15Mar2002,14449.14286,15877.85714
Week 2,22Mar2002,14462.85714,15897.42857
Week 3,29Mar2002,14467.42857,15909.00000
Week 4,05Apr2002,14491.14286,15925.42857
Week 1,12Apr2002,14502.57143,15933.85714
Week 2,19Apr2002,14505.42857,15921.71429
Week 3,26Apr2002,14519.57143,15920.57143
Week 4,03May2002,14532.28571,15918.85714
Week 1,10May2002,14549.14286,15933.14286
Week 2,17May2002,14551.85714,15926.57143
Week 3,24May2002,14571.14286,15938.42857
Week 4,31May2002,14581.71429,15924.71429
Week 1,07Jun2002,14596.00000,15931.28571
Week 2,14Jun2002,14598.14286,15927.42857
Week 3,21Jun2002,14618.28571,15916.28571
Week 4,28Jun2002,14648.57143,15921.42857
Week 1,05Jul2002,14641.28571,15926.28571
Week 2,12Jul2002,14665.00000,15931.42857
Week 3,19Jul2002,14675.28571,15928.00000
Week 4,26Jul2002,14667.42857,15944.71429
Week 1,02Aug2002,14680.71429,15962.28571
Week 2,09Aug2002,14677.42857,15970.28571
Week 3,16Aug2002,14681.85714,15968.42857
Week 4,23Aug2002,14679.00000,15973.42857
Week 1,30Aug2002,14706.57143,15984.71429
Week 2,06Sep2002,14693.00000,15969.85714
Week 3,13Sep2002,14692.00000,15984.28571
Week 4,20Sep2002,14702.85714,15989.00000
Week 1,27Sep2002,14699.28571,15983.14286
Week 2,04Oct2002,14702.57143,15982.28571
Week 3,11Oct2002,14719.28571,15997.42857
Week 4,18Oct2002,14705.57143,15998.85714
Week 1,25Oct2002,14727.57143,16016.00000
Week 2,01Nov2002,14732.42857,15999.57143
Week 3,08Nov2002,14744.71429,15992.14286
Week 4,15Nov2002,14750.14286,16003.57143
Week 1,22Nov2002,14753.42857,16016.28571
Week 2,29Nov2002,14753.14286,16021.28571
Week 3,06Dec2002,14767.28571,16021.57143
Week 4,13Dec2002,14776.57143,16007.71429
Week 1,20Dec2002,14780.71429,16006.71429
Week 2,27Dec2002,14781.28571,15994.14286
Week 3,03Jan2003,14792.00000,16001.57143
Week 4,10Jan2003,14816.28571,16013.00000
Week 1,17Jan2003,14831.14286,16015.00000
Week 2,24Jan2003,14847.14286,16013.28571
Week 3,31Jan2003,14847.57143,16013.00000
Week 4,07Feb2003,14847.42857,16017.28571
Week 1,14Feb2003,14847.57143,16018.85714
Week 2,21Feb2003,14849.71429,16015.85714
Week 3,28Feb2003,14850.42857,16011.85714
Week 4,07Mar2003,14861.42857,16005.00000
Week 1,14Mar2003,14855.14286,16029.14286
Week 2,21Mar2003,14857.71429,16044.85714
Week 3,28Mar2003,14872.00000,16040.00000
Week 4,04Apr2003,14864.00000,16040.28571
Week 1,11Apr2003,14873.71429,16045.00000
Week 2,18Apr2003,14885.14286,16038.71429
Week 3,25Apr2003,14901.28571,16045.85714
Week 4,02May2003,14911.71429,16032.28571
Week 1,09May2003,14928.00000,16026.00000
Week 2,16May2003,14924.28571,16016.00000
Week 3,23May2003,14932.85714,16001.28571
Week 4,30May2003,14942.71429,16014.14286
Week 1,06Jun2003,14940.28571,16010.00000
Week 2,13Jun2003,14950.14286,16019.71429
Week 3,20Jun2003,14948.42857,16033.57143
Week 4,27Jun2003,14945.57143,16044.71429
Week 1,04Jul2003,14949.14286,16053.71429
Week 2,11Jul2003,14947.28571,16062.57143
Week 3,18Jul2003,14952.71429,16071.00000
Week 4,25Jul2003,14964.71429,16063.00000
