week,date,ask,bid
Week 1,1-Sep-00,14119.71429,14123.71429
Week 2,8-Sep-00,14134.85714,14137.14286
Week 3,15-Sep-00,14153.14286,14156.28571
Week 4,22-Sep-00,14186.14286,14189.85714
Week 1,29-Sep-00,14217.85714,14221.85714
Week 2,6-Oct-00,14258.71429,14262.71429
Week 3,13-Oct-00,14301,14312.14286
Week 4,20-Oct-00,14335,14388.57143
Week 1,27-Oct-00,14364.28571,14418.28571
Week 2,3-Nov-00,14404.14286,14458.14286
Week 3,10-Nov-00,14437.71429,14491.71429
Week 4,17-Nov-00,14463.42857,14517.42857
Week 1,24-Nov-00,14481.14286,14528
Week 2,1-Dec-00,14499.71429,14553.71429
Week 3,8-Dec-00,14508.85714,14562.85714
Week 4,15-Dec-00,14508.42857,14562.42857
Week 1,22-Dec-00,14508.85714,14555.42857
Week 2,29-Dec-00,14513.42857,14567.42857
Week 3,5-Jan-01,14521,14575
Week 4,12-Jan-01,14525.71429,14579.71429
Week 1,19-Jan-01,14540.71429,14594.71429
Week 2,26-Jan-01,14542.28571,14596.28571
Week 3,2-Feb-01,14543.57143,14597.57143
Week 4,9-Feb-01,14550.57143,14604.57143
Week 1,16-Feb-01,14557.28571,14603.57143
Week 2,23-Feb-01,14564,14618
Week 3,2-Mar-01,14557.14286,14611.14286
Week 4,9-Mar-01,14552.42857,14606.42857
Week 1,16-Mar-01,14546.71429,14600.71429
Week 2,23-Mar-01,14544,14598
Week 3,30-Mar-01,14541.85714,14595.85714
Week 4,6-Apr-01,14547.71429,14601.71429
Week 1,13-Apr-01,14555.28571,14580.71429
Week 2,20-Apr-01,14559.57143,14613.57143
Week 3,27-Apr-01,14564,14618
Week 4,4-May-01,14570,14624
Week 1,11-May-01,14588.28571,14642.28571
Week 2,18-May-01,14607.28571,14661.28571
Week 3,25-May-01,14630.28571,14677.28571
Week 4,1-Jun-01,14676.42857,14730.42857
Week 1,8-Jun-01,14725.57143,14779.28571
Week 2,15-Jun-01,14779.42857,14833.14286
Week 3,22-Jun-01,14821.71429,14875.71429
Week 4,29-Jun-01,14847.14286,14893.57143
Week 1,6-Jul-01,14866,14920
Week 2,13-Jul-01,14892.14286,14946.14286
