Date,Ron 95-II-V1,Ron 92-II-V1,"Diezen 0,05s-V1",Dau hoa V1,"Mazut No2B (3,0S)-V1","Mazut No2b(3,5S)-V1",Mazut No3 (380)-V1,E5 RON 92-II-V1,Ron 95-II-V2,Ron 92-II-V2,"Diezen 0,05s-V2",Dau hoa V2,"Mazut No2B (3,0S)-V2","Mazut No2b(3,5S)-V2",Mazut No3 (380)-V2,E5 RON 92-II-V2
18/2/2017,18790,18090,14300,12750,11720,11320,11220,17810,19160,18450,14580,13000,11950,11540,11440,18160
3/2/2017,,,14020,12520,11600,11200,11100,,,,14300,12770,11830,11420,11320,
19/1/2017,,,14040,12600,12020,11620,11520,,,,14320,12850,12260,11850,11750,
4/1/2017,18440,17590,13750,12250,11520,11120,11020,17320,18800,17940,14020,12490,11750,11340,11240,17660
20/12/2016,18290,17590,13430,11940,11030,10630,10530,17320,18650,17940,13690,12170,11250,10840,10740,17660
5/12/2016,17370,16670,12670,11200,10360,9960,9860,16520,17710,17000,12920,11420,10560,10150,10050,16850
19/11/2016,17070,16370,12500,10960,10080,9680,9580,16220,17410,16690,12750,11170,10280,9870,9770,16540
20/10/2016,17540,16840,13020,11540,10460,10060,9960,16530,17890,17170,16860,11770,10660,10260,10150,16860
5/10/2016,17100,16400,12420,11020,9870,9470,9370,16140,17440,16720,12660,11240,10060,9650,9550,16460
20/9/2016,16930,16230,12250,10880,9740,9340,9240,15980,17260,16550,12490,11090,9930,9520,9420,16290
5/9/2016,16770,16070,12380,10980,9730,9330,9230,15830,17100,16390,12620,11190,9920,9510,9410,16140
19/8/2016,16070,15370,11910,10490,9230,8830,8730,15220,16390,15670,12140,10690,9410,9000,8900,15520
4/8/2016,15390,14690,11660,10290,9020,8620,8520,14250,15690,14980,11890,10490,9200,8790,8690,14530
20/7/2016,16000,15300,,,,,,14840,16320,15600,,,,,,15130
5/7/2016,16660,15960,,,9400,9000,8900,15440,16990,16270,,,9580,9180,9070,15740
20/6/2016,16860,16160,12290,10660,9140,8740,8640,15640,17190,16480,12530,10870,9320,8910,8810,15950
4/6/2016,17200,16500,11900,10290,8790,8390,8290,15980,17540,16830,12130,10490,8960,8550,8450,16290
20/5/2016,16520,15820,11300,9640,8550,8150,8050,15310,16850,16130,11520,9830,8720,8310,8210,15610
5/5/2016,16280,15580,11020,9450,8260,7860,7760,15070,16600,15890,11240,9630,8420,8010,7910,15370
20/4/2016,,,10370,,7960,7560,7460,,,,10570,,8110,7710,7600,
5/4/2016,15640,14940,,,,,,14440,15950,15230,,,,,,14720
21/3/2016,15120,14420,9870,,,,,13890,15420,14700,10060,,,,,14160
4/3/2016,14450,13750,9580,8900,,,,13320,14730,14020,9770,9070,,,,13580
18/2/2016,14450,13750,,,,,,13320,14730,14020,,,,,,15580
3/2/2016,15410,14710,9580,8900,7590,7220,7120,14260,15710,15000,9770,9070,7740,7360,7260,14540
19/1/2016,16140,15440,10200,9380,7160,7240,7140,14750,16460,15740,10400,9560,7760,7380,7280,15040
4/1/2016,16730,16030,11110,10270,7910,7540,7440,15330,17060,16350,11330,10470,8060,7690,7580,15630
18/12/2015,17100,16400,11980,11060,8530,8160,8060,15910,17440,16720,12210,11280,8700,8320,8220,16220
3/12/2015,17490,16790,13230,12200,9470,9100,9000,16300,17830,17120,13490,12440,9650,9280,9180,16620
18/11/2015,17750,17050,13510,12640,9850,9480,9380,16550,18100,17390,13780,12890,10040,9660,9560,16880
3/11/2015,17930,17230,13510,12520,9940,9570,9470,16730,18280,17570,13780,12770,10130,9760,9650,17060
19/10/2015,18700,18000,13940,13000,10250,9880,9870,17610,19070,18360,14210,13260,10450,10070,9970,17960
3/10/2015,18730,18130,13720,12720,9810,9440,9340,17640,19100,18490,13990,12970,10000,9620,9520,17990
18/9/2015,18550,17950,13880,12790,10010,9640,9540,17450,18920,18300,14150,13040,10210,9830,9730,17790
3/9/2015,17930,17330,13310,12280,9720,9350,9250,16840,18280,17670,13570,12520,9910,9530,9430,17170
